,date,pays,ville,stade,equipe1,equipe2,score1,score2,result_france,competition
775,1951-10-14,Suisse,Genève,Stade des Charmilles,Suisse,France,1,2,win,Match amical
776,1953-11-11,France,Colombes,Stade olympique Yves-du-Manoir,France,Suisse,2,4,loss,Match amical
777,1955-10-09,Suisse,Bâle,Stade Saint-Jacques,Suisse,France,1,2,win,Match amical
778,1958-04-16,France,Paris,Parc des Princes,France,Suisse,0,0,draw,Match amical
779,1960-10-12,Suisse,Bâle,Stade Saint-Jacques,Suisse,France,6,2,loss,Match amical
780,1963-11-11,France,Paris,Parc des Princes,France,Suisse,2,2,draw,Match amical
781,1970-05-03,Suisse,Bâle,Stade Saint-Jacques,Suisse,France,2,1,loss,Match amical
782,1977-04-23,Suisse,Genève,Stade des Charmilles,Suisse,France,0,4,win,Match amical
783,1986-08-19,Suisse,Lausanne,Stade olympique de la Pontaise,Suisse,France,2,0,loss,Match amical
784,1988-02-02,France,Toulouse,Stadium municipal de Toulouse,France,Suisse,2,1,win,Tournoi de France 1988 (amical)
785,1992-05-27,Suisse,Lausanne,Stade olympique de la Pontaise,Suisse,France,2,1,loss,Match amical
786,2003-08-20,Suisse,Genève,Stade de Genève,Suisse,France,0,2,win,Match amical
787,2004-06-21,Portugal,Coimbra,Stade municipal de Coimbra,Suisse,France,1,3,win,Euro 2004 (Groupe B)
788,2005-03-26,France,Saint-Denis,Stade de France,France,Suisse,0,0,draw,Qualifications pour la Coupe du monde 2006
789,2005-10-08,Suisse,Berne,Stade de Suisse Wankdorf Bern,Suisse,France,1,1,draw,Qualifications pour la Coupe du monde 2006
790,2006-06-13,Allemagne,Stuttgart,Gottlieb-Daimler-Stadion,France,Suisse,0,0,draw,Coupe du monde 2006 (Groupe G)
791,2014-06-20,Brésil,Salvador,Itaipava Arena Fonte Nova,Suisse,France,2,5,win,Coupe du monde 2014 (Groupe E)
792,2016-06-19,France,Villeneuve-d'Ascq,Stade Pierre Mauroy,Suisse,France,0,0,draw,Euro 2016 (Groupe A)
793,2021-06-28,Roumanie,Bucarest,Arena Națională,France,Suisse,3,3,loss,Euro 2020 (Huitième de finale)
794,1920-08-31,Belgique,Anvers,Stade olympique d'Anvers,Tchécoslovaquie,France,4,1,loss,Jeux olympiques 1920 (Demi-finale)
795,1928-05-13,France,Colombes,Stade olympique Yves-du-Manoir,France,Tchécoslovaquie,0,2,loss,Match amical
796,1930-05-11,France,Colombes,Stade olympique Yves-du-Manoir,France,Tchécoslovaquie,2,3,loss,Match amical
797,1931-02-15,France,Colombes,Stade olympique Yves-du-Manoir,France,Tchécoslovaquie,1,2,loss,Match amical
798,1933-06-10,Tchécoslovaquie,Prague,Stade Letná,Tchécoslovaquie,France,4,0,loss,Match amical
799,1934-03-25,France,Colombes,Stade olympique Yves-du-Manoir,France,Tchécoslovaquie,1,2,loss,Match amical
